seed	bioma	dish	trat	pop	status						
1	TF	1dll	dispersor 	llao	1						
2	TF	1dll	dispersor 	llao	1						
3	TF	1dll	dispersor 	llao	1						
4	TF	1dll	dispersor 	llao	1						
5	TF	2dll	dispersor 	llao	1						
6	TF	2dll	dispersor 	llao	1						
7	TF	2dll	dispersor 	llao	1						
8	TF	2dll	dispersor 	llao	1						
9	TF	3dll	dispersor 	llao	1						
10	TF	3dll	dispersor 	llao	1						
11	TF	3dll	dispersor 	llao	1						
12	TF	3dll	dispersor 	llao	1						
13	TF	4dll	dispersor 	llao	1						
14	TF	4dll	dispersor 	llao	1						
15	TF	4dll	dispersor 	llao	1						
16	TF	4dll	dispersor 	llao	1						
17	TF	5dll	dispersor 	llao	1						
18	TF	5dll	dispersor 	llao	1						
19	TF	5dll	dispersor 	llao	1						
20	TF	5dll	dispersor 	llao	1						
21	TF	6dll	dispersor 	llao	1						
22	TF	6dll	dispersor 	llao	1						
23	TF	6dll	dispersor 	llao	1						
24	TF	6dll	dispersor 	llao	1						
25	TF	7dll	dispersor 	llao	1						
26	TF	7dll	dispersor 	llao	1						
27	TF	7dll	dispersor 	llao	1						
28	TF	7dll	dispersor 	llao	1						
29	TF	8dll	dispersor 	llao	1						
30	TF	8dll	dispersor 	llao	1						
31	TF	8dll	dispersor 	llao	1						
32	TF	8dll	dispersor 	llao	1						
33	TF	9dll	dispersor 	llao	1						
34	TF	9dll	dispersor 	llao	1						
35	TF	9dll	dispersor 	llao	1						
36	TF	9dll	dispersor 	llao	1						
37	TF	10dll	dispersor 	llao	1						
38	TF	10dll	dispersor 	llao	1						
39	TF	10dll	dispersor 	llao	1						
40	TF	10dll	dispersor 	llao	1						
41	TF	1hll	handcleaned 	llao	1						
42	TF	1hll	handcleaned 	llao	1						
43	TF	1hll	handcleaned 	llao	1						
44	TF	1hll	handcleaned 	llao	0						
45	TF	2hll	handcleaned 	llao	1						
46	TF	2hll	handcleaned 	llao	1						
47	TF	2hll	handcleaned 	llao	1						
48	TF	2hll	handcleaned 	llao	0						
49	TF	3hll	handcleaned 	llao	1						
50	TF	3hll	handcleaned 	llao	1						
51	TF	3hll	handcleaned 	llao	1						
52	TF	3hll	handcleaned 	llao	0						
53	TF	4hll	handcleaned 	llao	1						
54	TF	4hll	handcleaned 	llao	1						
55	TF	4hll	handcleaned 	llao	0						
56	TF	4hll	handcleaned 	llao	0						
57	TF	5hll	handcleaned 	llao	1						
58	TF	5hll	handcleaned 	llao	1						
59	TF	5hll	handcleaned 	llao	1						
60	TF	5hll	handcleaned 	llao	1						
61	TF	6hll	handcleaned 	llao	1						
62	TF	6hll	handcleaned 	llao	1						
63	TF	6hll	handcleaned 	llao	1						
64	TF	6hll	handcleaned 	llao	1						
65	TF	7hll	handcleaned 	llao	1						
66	TF	7hll	handcleaned 	llao	1						
67	TF	7hll	handcleaned 	llao	1						
68	TF	7hll	handcleaned 	llao	0						
69	TF	8hll	handcleaned 	llao	1						
70	TF	8hll	handcleaned 	llao	1						
71	TF	8hll	handcleaned 	llao	1						
72	TF	8hll	handcleaned 	llao	0						
73	TF	9hll	handcleaned 	llao	1						
74	TF	9hll	handcleaned 	llao	1						
75	TF	9hll	handcleaned 	llao	1						
76	TF	9hll	handcleaned 	llao	0						
77	TF	10hll	handcleaned 	llao	1						
78	TF	10hll	handcleaned 	llao	1						
79	TF	10hll	handcleaned 	llao	1						
80	TF	10hll	handcleaned 	llao	1						
81	TF	1cll	control	llao	0						
82	TF	1cll	control	llao	0						
83	TF	1cll	control	llao	0						
84	TF	1cll	control	llao	0						
85	TF	2cll	control	llao	0						
86	TF	2cll	control	llao	0						
87	TF	2cll	control	llao	0						
88	TF	2cll	control	llao	0						
89	TF	3cll	control	llao	0						
90	TF	3cll	control	llao	0						
91	TF	3cll	control	llao	0						
92	TF	3cll	control	llao	0						
93	TF	4cll	control	llao	0						
94	TF	4cll	control	llao	0						
95	TF	4cll	control	llao	0						
96	TF	4cll	control	llao	0						
97	TF	5cll	control	llao	0						
98	TF	5cll	control	llao	0						
99	TF	5cll	control	llao	0						
100	TF	5cll	control	llao	0						
101	TF	6cll	control	llao	1						
102	TF	6cll	control	llao	0						
103	TF	6cll	control	llao	0						
104	TF	6cll	control	llao	0						
105	TF	7cll	control	llao	0						
106	TF	7cll	control	llao	1						
107	TF	7cll	control	llao	0						
108	TF	7cll	control	llao	0						
109	TF	8cll	control	llao	0						
110	TF	8cll	control	llao	0						
111	TF	8cll	control	llao	0						
112	TF	8cll	control	llao	0						
113	TF	9cll	control	llao	0						
114	TF	9cll	control	llao	1						
115	TF	9cll	control	llao	0						
116	TF	9cll	control	llao	0						
117	TF	10cll	control	llao	0						
118	TF	10cll	control	llao	0						
119	TF	10cll	control	llao	0						
120	TF	10cll	control	llao	1						
121	TF	1dq	dispersor 	queules	1						
122	TF	1dq	dispersor 	queules	1						
123	TF	1dq	dispersor 	queules	1						
124	TF	1dq	dispersor 	queules	1						
125	TF	2dq	dispersor 	queules	1						
126	TF	2dq	dispersor 	queules	1						
127	TF	2dq	dispersor 	queules	0						
128	TF	2dq	dispersor 	queules	1						
129	TF	3dq	dispersor 	queules	1						
130	TF	3dq	dispersor 	queules	1						
131	TF	3dq	dispersor 	queules	1						
132	TF	3dq	dispersor 	queules	1						
133	TF	1hq	handcleaned 	queules	1						
134	TF	1hq	handcleaned 	queules	1						
135	TF	1hq	handcleaned 	queules	1						
136	TF	1hq	handcleaned 	queules	1						
137	TF	2hq	handcleaned 	queules	1						
138	TF	2hq	handcleaned 	queules	1						
139	TF	2hq	handcleaned 	queules	1						
140	TF	2hq	handcleaned 	queules	1						
141	TF	3hq	handcleaned 	queules	1						
142	TF	3hq	handcleaned 	queules	1						
143	TF	3hq	handcleaned 	queules	1						
144	TF	3hq	handcleaned 	queules	1						
